ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|itn_easting|itn_northing|itn_toid|itn_toid_version|distance|address_detail|street_name|locality|geographic_county|postcode|verified_address|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
17133000|St Margaret's Episcopal Church|06340459|250317|667107|1||0001000040196336|2|250332.6|667127.7|4000000005144588|5|25.9||||Strathclyde|PA4|N|Renfrewshire||||Religion|Scottish Episcopal (Christian)|Ordnance Survey|2015-12-01
17136042|Carlops Parish Church|06340459|316090|655908|1||0001000036420406|7|316104.6|655909.8|4000000006229911|7|14.8||||Scottish Borders|EH26|N|Scottish Borders||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17177121|Lockhart Memorial Parish Church|06340459|327232|674926|1||0001000036610003|4|327224|674942|4000000006266130|5|17.9||||Lothian|EH7|N|City of Edinburgh||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18125761|Chapel (Private)|06340459|297899|575560|1||0001000031521847|4|297873.4|575588.3|4000000006909881|3|38.1||||Dumfries and Galloway|DG1|N|Dumfries and Galloway||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18117287|Courthill Chapel|06340459|183174|840663|1||0001000038773991|5|183175.6|840677.2|4000000003443302|9|14.3||||Highland|IV54|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18118683|Chapel (Private)|06340459|386229|821032|1||0001000039086769|5|386293|821128|5000005155067013|1|115.4||||Grampian|AB21|N|Aberdeenshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18114844|Chapel|06340459|463687|1212653|1||0001000038629831|4|463683.3|1212665.8|4000000003210406|6|13.3||||Shetland|ZE2|N|Shetland Islands||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18124516|Chapel (Private)|06340459|357745|635455|1||0001000036797700|4|357730|635496.6|5000005121993756|1|44.2||||Scottish Borders|TD6|N|Scottish Borders||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18114848|Baxter Chapel|06340459|396933|1137763|1||0001000038630186|5|396960.8|1137750.3|5000005121098744|1|30.5||||Shetland|ZE2|N|Shetland Islands||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
18119661|Chapel (Private)|06340459|312890|724076|1||0001000039389423|3|312901|724061.7|5000005103733873|2|18||||Tayside|PH2|N|Perth and Kinross||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126160|Dornie Church|06340459|188388|826291|1||0001000038776099|3|188375.3|826290.8|4000000003443226|8|12.7||||Highland|IV40|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126162|St Donnan's Episcopal Church|06340459|185475|827144|1||0001000038774684|4|185487.1|827218.3|4000000003443215|7|75.2||||Highland|IV40|N|Highland||||Religion|Scottish Episcopal (Christian)|Ordnance Survey|2015-12-01
17126436|Craig Dunain Interdenominational Church|06340459|263777|843922|1||0001000038810545|4|263838.4|843913.2|4000000003512826|8|62.1||||Highland|IV3|N|Highland||||Religion|Other (Christian)|Ordnance Survey|2015-12-01
17130674|Bowmore Baptist Church|06340459|131161|659765|1||0001000039752519|5|131165.3|659753.6|4000000004871633|4|12.2||||Inner Hebrides|PA43|N|Argyll and Bute||||Religion|Baptist (Christian)|Ordnance Survey|2015-12-01
17127514|St Marnan's Episcopal Church|06340459|362250|852240|1||0001000039013942|4|362269.6|852249.8|4000000003804079|9|21.9||||Grampian|AB54|N|Aberdeenshire||||Religion|Scottish Episcopal (Christian)|Ordnance Survey|2015-12-01
17125570|Arnol Church of Scotland|06340459|131206|948464|1||0001000038688548|5|131217.1|948470.8|4000000003305981|3|13||||Outer Hebrides|HS2|N|Na h-Eileanan an Iar||||Religion|Church of Scotland (Christian)|Ordnance Survey|2015-12-01
17126732|Alvie Church|06340459|286405|809329|1||0001000038878591|3|286405.8|809308.8|4000000003515000|7|20.2||||Highland|PH22|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126944|St Columba's Church|06340459|306901|862002|1||0001000038909299|11|306886.5|862027.1|4000000003768291|9|29||||Grampian|IV36|N|Moray||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17125727|Kildonan Church|06340459|291000|920740|1||0001000038715490|10|291000|920907|4000000003342631|1|167||||Highland|KW8|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17128436|Old Blackhill Church|06340459|408219|843059|1||0001000039242881|5|408174.5|843050.5|4000000004190100|8|45.3||||Grampian|AB42|N|Aberdeenshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17125698|Pitfure Church|06340459|271013|903824|1||5000005130378333|1|271019.2|903809|4000000003337543|8|16.2||||Highland|IV28|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17125820|Dunnet Parish Church|06340459|321989|971187|1||0001000038732160|4|321932.6|971161.1|4000000003377612|6|62||||Highland|KW14|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17128695|St Patrick's R C Church|06340459|167503|796909|1||0001000039265492|6|167483.3|796906.3|4000000004231874|3|19.9||||Highland|PH41|N|Highland||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17128763|Strontian Parish Church|06340459|181566|762406|1||0001000039269359|4|181573.3|762427.9|4000000004231019|7|23.1||||Highland|PH36|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17128935|St Angus Episcopal Church of Scotland|06340459|258865|723239|1||0001000039299956|3|258863.5|723250.6|4000000004295377|7|11.7||||Central|FK19|N|Stirling||||Religion|Church of Scotland (Christian)|Ordnance Survey|2015-12-01
17127267|Botriphnie Church|06340459|337542|844115|1||0001000038962272|4|337600.1|844097.2|5000005138706561|1|60.7||||Grampian|AB55|N|Moray||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17136669|St Christopher's Parish Church|06340459|329205|674768|1||0001000036652274|3|329177|674780.7|4000000006265625|5|30.7||||Lothian|EH7|N|City of Edinburgh||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
